summary_type,region,metric,mean,median,std,valid_case_count
region_stat,gt_background_valid,raw_attention_p05,0.00011933178666367894,0.00011314704897813499,1.798553114264239e-05,8
region_stat,gt_background_valid,raw_attention_p25,0.0002680421639524866,0.0002445857389830053,6.468473548298747e-05,8
region_stat,gt_background_valid,raw_attention_median,0.0004519108588283416,0.0004828501696465537,7.880642844180763e-05,8
region_stat,gt_background_valid,raw_attention_p75,0.0006117537195677869,0.0006095375283621252,6.719272925362735e-05,8
region_stat,gt_background_valid,raw_attention_p95,0.0011532621065271087,0.0007518199854530394,0.0006256140007031004,8
region_stat,gt_background_valid,raw_attention_max,0.016953141341218725,0.01045691897161305,0.01720079456621318,8
region_stat,gt_background_valid,rank_attention_voxel_count,7937987.875,5106835.5,4703510.092541724,8
region_stat,gt_background_valid,rank_attention_mean,0.5053800866007805,0.506476640701294,0.00399808797311184,8
region_stat,gt_background_valid,rank_attention_std,0.2863534577190876,0.28616049885749817,0.0017469114515154293,8
region_stat,gt_background_valid,rank_attention_min,2.513579318019765e-07,0.0,6.650305776115633e-07,8
region_stat,gt_background_valid,rank_attention_p05,0.05035245371982455,0.05020793899893761,0.003325065835441678,8
region_stat,gt_background_valid,rank_attention_p25,0.2605220004916191,0.26063331961631775,0.006304599328291693,8
region_stat,gt_background_valid,rank_attention_median,0.51046983897686,0.5106787979602814,0.004810816298455272,8
region_stat,gt_background_valid,rank_attention_p75,0.7521812990307808,0.7530081570148468,0.0034208301940094887,8
region_stat,gt_background_valid,rank_attention_p95,0.946673721075058,0.9479489028453827,0.005678928371416851,8
region_stat,gt_background_valid,rank_attention_max,0.9999877735972404,1.0,3.219047381637522e-05,8
region_stat,gt_background_valid,residual_voxel_count,7937987.875,5106835.5,4703510.092541724,8
region_stat,gt_background_valid,residual_mean,0.036090771900489926,0.033603137359023094,0.007790641628196999,8
region_stat,gt_background_valid,residual_std,0.4602622576057911,0.4607565999031067,0.016263941220222726,8
region_stat,gt_background_valid,residual_min,-0.9648268222808838,-0.9844105541706085,0.033040508987266945,8
region_stat,gt_background_valid,residual_p05,-0.7301621586084366,-0.7281008958816528,0.02962617538129992,8
region_stat,gt_background_valid,residual_p25,-0.36272556707262993,-0.34238290786743164,0.04398710983699028,8
region_stat,gt_background_valid,residual_median,0.10225991997867823,0.10450654849410057,0.05947473091472858,8
region_stat,gt_background_valid,residual_p75,0.40860894322395325,0.4027017652988434,0.041988057560969544,8
region_stat,gt_background_valid,residual_p95,0.7046322748064995,0.7088989913463593,0.039414679318647394,8
region_stat,gt_background_valid,residual_max,0.9839665219187737,0.986499696969986,0.0052092012057174215,8
region_stat,TP,probability_voxel_count,473974.25,256221.5,321577.07137393596,8
region_stat,TP,probability_mean,0.9749183282256126,0.9816039800643921,0.018611223342672425,8
region_stat,TP,probability_std,0.06657549040392041,0.0608807597309351,0.021067121050455006,8
region_stat,TP,probability_min,0.5000525265932083,0.5000278055667877,5.8870169361239616e-05,8
region_stat,TP,probability_p05,0.8652736693620682,0.8935197293758392,0.10501896691148008,8
region_stat,TP,probability_p25,0.9843632876873016,0.9942440390586853,0.0235096203730249,8
region_stat,TP,probability_median,0.9965951219201088,0.9987378418445587,0.004874160208113999,8
region_stat,TP,probability_p75,0.9991193190217018,0.9995339810848236,0.0010883868446096418,8
region_stat,TP,probability_p95,0.9998422563076019,0.9998833537101746,0.00011887445214579708,8
region_stat,TP,probability_max,0.9999944269657135,0.9999964237213135,6.024714721701354e-06,8
region_stat,TP,raw_attention_voxel_count,473974.25,256221.5,321577.07137393596,8
region_stat,TP,raw_attention_mean,0.0004403761922731064,0.0004100809746887535,7.710644220341716e-05,8
region_stat,TP,raw_attention_std,0.0003673062092275359,0.00031023840710986406,0.00011360703641844252,8
region_stat,TP,raw_attention_min,6.668300920864567e-05,5.5544158385600895e-05,2.431843633382895e-05,8
region_stat,TP,raw_attention_p05,0.00012208725638629403,0.00012046294796164148,2.324049868398162e-05,8
region_stat,TP,raw_attention_p25,0.00019393506045162212,0.0001957621134351939,1.3193023270236089e-05,8
region_stat,TP,raw_attention_median,0.0003079075977439061,0.0003031584492418915,2.0647099935156315e-05,8
region_stat,TP,raw_attention_p75,0.0005546094034798443,0.0005369087448343635,9.903644076919811e-05,8
region_stat,TP,raw_attention_p95,0.001233623261214234,0.0010669511393643916,0.00036969861921127975,8
region_stat,TP,raw_attention_max,0.002887785667553544,0.0028611047891899943,0.0006305455458196777,8
region_stat,TP,rank_attention_voxel_count,473974.25,256221.5,321577.07137393596,8
region_stat,TP,rank_attention_mean,0.41478127613663673,0.3861510902643204,0.07037833677583381,8
region_stat,TP,rank_attention_std,0.2933909744024277,0.28643298149108887,0.025260793616172717,8
region_stat,TP,rank_attention_min,0.010581961169521037,0.002401173231191933,0.013226468562438125,8
region_stat,TP,rank_attention_p05,0.062475279439240694,0.05365859530866146,0.032263413390267545,8
region_stat,TP,rank_attention_p25,0.17821484617888927,0.17851563543081284,0.0424964061275416,8
region_stat,TP,rank_attention_median,0.3316440414637327,0.3152629882097244,0.07594472643115534,8
region_stat,TP,rank_attention_p75,0.6403594091534615,0.6446070969104767,0.18990320727348717,8
region_stat,TP,rank_attention_p95,0.949172355234623,0.9754339754581451,0.050166785082701566,8
region_stat,TP,rank_attention_max,0.9910501092672348,0.9953486323356628,0.010847825646212285,8
region_stat,TP,residual_voxel_count,473974.25,256221.5,321577.07137393596,8
region_stat,TP,residual_mean,-0.556143194437027,-0.5789028406143188,0.07312040002349658,8
region_stat,TP,residual_std,0.29147882387042046,0.2829504460096359,0.025999031545207295,8
region_stat,TP,residual_min,-0.9701189920306206,-0.9839134514331818,0.029075129291700738,8
region_stat,TP,residual_p05,-0.9031000584363937,-0.911011129617691,0.03503685260876449,8
region_stat,TP,residual_p25,-0.7906520143151283,-0.7921602725982666,0.04476636019265087,8
region_stat,TP,residual_median,-0.6398299038410187,-0.655886709690094,0.07826000500426124,8
region_stat,TP,residual_p75,-0.3339773155748844,-0.32853245735168457,0.19153363009298394,8
region_stat,TP,residual_p95,-0.02192801225464791,-0.006091104354709387,0.053233431718720706,8
region_stat,TP,residual_max,0.05302064120769501,0.05225065350532532,0.01572721716176858,8
region_stat,FN,probability_voxel_count,123957.5,23401.5,198831.1158232031,8
region_stat,FN,probability_mean,0.12218804657459259,0.12512848153710365,0.03395855052314672,8
region_stat,FN,probability_std,0.1424127323552966,0.14498845487833023,0.011714294614758055,8
region_stat,FN,probability_min,2.7761101922495635e-05,9.798698521569044e-08,6.147781347709234e-05,8
region_stat,FN,probability_p05,0.0010131298422166647,0.00038433978625107557,0.001206320303689454,8
region_stat,FN,probability_p25,0.011279581629083026,0.008453300222754478,0.009860208392780205,8
region_stat,FN,probability_median,0.0576609400450252,0.057663533836603165,0.038913065242333386,8
region_stat,FN,probability_p75,0.19776733592152596,0.20415294915437698,0.07536147142501132,8
region_stat,FN,probability_p95,0.4313722178339958,0.43697258830070496,0.027237571568903808,8
region_stat,FN,probability_max,0.49992547184228897,0.4999835193157196,0.000100558473088598,8
region_stat,FN,raw_attention_voxel_count,123957.5,23401.5,198831.1158232031,8
region_stat,FN,raw_attention_mean,0.0004620336949301418,0.00037230944144539535,0.00028482431570053807,8
region_stat,FN,raw_attention_std,0.0005932905114605092,0.0004258961998857558,0.0006101755845354566,8
region_stat,FN,raw_attention_min,6.387946041286341e-05,5.58247684239177e-05,2.044130573149351e-05,8
region_stat,FN,raw_attention_p05,0.00010642468623700552,9.971678809961304e-05,2.7588591223139233e-05,8
region_stat,FN,raw_attention_p25,0.00016476711243740283,0.00015891750808805227,3.4801666800536594e-05,8
region_stat,FN,raw_attention_median,0.0002527527667552931,0.00021054148965049535,0.00010664912066678595,8
region_stat,FN,raw_attention_p75,0.00048471250920556486,0.00035939746885560453,0.00026967639932992964,8
region_stat,FN,raw_attention_p95,0.0016150470764841884,0.001116492843721062,0.001384282947789138,8
region_stat,FN,raw_attention_max,0.006634205157752149,0.0026570858899503946,0.007442813451757424,8
region_stat,FN,rank_attention_voxel_count,123957.5,23401.5,198831.1158232031,8
region_stat,FN,rank_attention_mean,0.3440868388861418,0.31832849979400635,0.08035619058959365,8
region_stat,FN,rank_attention_std,0.2961293328553438,0.2934357672929764,0.050016983840246554,8
region_stat,FN,rank_attention_min,0.008678029199472803,0.0028115363093093038,0.009953863434251165,8
region_stat,FN,rank_attention_p05,0.03904178075026721,0.026657878421247005,0.027197920325212878,8
region_stat,FN,rank_attention_p25,0.11714904848486185,0.1192602887749672,0.02581548274902548,8
region_stat,FN,rank_attention_median,0.2392578162252903,0.2158689647912979,0.09162161889257307,8
region_stat,FN,rank_attention_p75,0.5098443515598774,0.4282720535993576,0.23528139373253262,8
region_stat,FN,rank_attention_p95,0.9579049348831177,0.9626294374465942,0.032371198540289005,8
region_stat,FN,rank_attention_max,0.9978470280766487,0.9982174038887024,0.0017684394952367517,8
region_stat,FN,residual_voxel_count,123957.5,23401.5,198831.1158232031,8
region_stat,FN,residual_mean,-0.5531193912029266,-0.5843824744224548,0.12248671668669854,8
region_stat,FN,residual_std,0.3282217476516962,0.3021150529384613,0.09332450492713294,8
region_stat,FN,residual_min,-0.92572420835495,-0.9216671288013458,0.01934868780569806,8
region_stat,FN,residual_p05,-0.8851296827197075,-0.8810692131519318,0.029093147553497498,8
region_stat,FN,residual_p25,-0.805877186357975,-0.8083361387252808,0.02141792465433129,8
region_stat,FN,residual_median,-0.6728872358798981,-0.713074803352356,0.11844869222798593,8
